fine_label	utterance
flight	what flights are available tuesday afternoon from pittsburgh to atlanta
flight	show me flights from san francisco to denver
flight+airfare	show all flights and fares from denver to san francisco
flight	i want to fly philadelphia to san francisco on july eighth
flight	give me the flights from san francisco to washington dc for december first
flight	dallas to oakland monday
flight	are there wednesday morning flights between pittsburgh and boston
airfare	show me economy fares from dallas to baltimore
flight	flights from la guardia or jfk to cleveland
flight	i 'd like to book a flight from san diego to toronto
flight	list all flights going from boston to atlanta on wednesday after 6 o'clock pm on wednesday
flight	i want to leave boston at 838
flight	list the flights and departure times for flights leaving dallas fort worth for boston after 6 pm
quantity	how many flights come from denver to baltimore on july nineteenth
flight	on august thirtieth please schedule me on a flight from denver to san francisco early in the morning
flight	i 'd like to know the information from boston to philadelphia nonstop
flight	show me the last flight available in the evening from boston to dc on july twenty first
ground_service	show me ground transportation in san francisco
flight	i would like to fly from st. paul to san jose monday morning from san jose to houston tuesday morning and from houston to st. paul on wednesday morning
airfare	us 3724 baltimore to philadelphia what is the fare
unk	show me the flights from philadelphia to dallas
flight	i want to go from boston to oakland on united and leave at 838 am which flight should i take
flight	are there any flights from denver to atlanta to pittsburgh
flight	show me flights from baltimore to philadelphia
flight	show flights from denver to oakland arriving between 12 and 1 o'clock
flight	i am interested in booking an early flight from dallas into houston and returning in the late evening
flight	please list all flights on united airlines out of denver before noon
unk	us 201
flight	i 'd like information on all the flights from san francisco to pittsburgh on tuesday
flight	what flights leaving pittsburgh arrive in denver and leave after say 6 o'clock at night
aircraft	what first class airplane goes from philadelphia to san francisco and stops in dallas in the afternoon on monday
flight	i want to fly united airlines from boston to denver
flight	what are the two american airlines flights that leave from dallas to san francisco in the evening
flight	flights from denver to pittsburgh on wednesday
flight	i need to find a flight from philadelphia to san francisco that has a stopover in dallas
flight	show me all flights from atlanta to dallas round trip less than 1100 dollars
